t_s,z_head_m,bias_m,J11,pull_left_m,pull_right_m
0.02,-0.00342965591698885,0.00020577935501933103,1.0,0.00495530461336223,0.003044695386637771
0.04,-0.0037652708050576185,0.0004471761631351611,0.9358709009733679,0.0059196743738738735,0.002080325626126127
0.06,-0.0044482552069202265,0.0007760771171972248,0.811476248758009,0.006919384297113211,0.0010806157028867885
0.08,-0.005305255990352818,0.0012967649610092847,0.6113362606868611,0.00803495338472404,0.0
0.1,-0.0064146575454724335,0.002774601402167009,0.26043440397696155,0.0100106693796668,0.0
0.12000000000000001,-0.007780741307022754,0.0007196978946960699,-0.22718559617231443,0.008339006104560148,0.0
0.14,-0.008807933792434386,0.004929921892299078,0.12552206909820918,0.012804254536813602,0.0
0.16,-0.010954830862136711,0.002137525713328137,-0.23538560061002106,0.010129632627041224,0.0
0.18,-0.012461323154119868,0.006,0.17669645803089085,0.013968458805257912,0.0
0.19999999999999998,-0.015023479781235569,0.0029512652708253238,-0.2956665197034557,0.010755491336005937,0.0
0.21999999999999997,-0.01701661144337048,0.006,0.21865334155744798,0.013505226720175456,0.0
0.23999999999999996,-0.019866662800880425,0.003065556968314534,-0.40620988554961746,0.010147609939417691,0.0
0.25999999999999995,-0.022278172415168503,0.006,0.25393004848923617,0.012549695958994762,0.0
0.27999999999999997,-0.025480271430359185,0.0027415113135568613,-0.4691795592791692,0.008668526009963724,0.0
0.3,-0.028198554858769345,0.006,0.24554376317420223,0.01123606797749979,0.0
0.32,-0.03173272008883241,0.002064959797300818,-0.4838484760648569,0.006566292731558034,0.001433707268441966
0.34,-0.034398657923355995,0.006,0.17068271948082292,0.009748837921882747,0.0
0.36000000000000004,-0.038382714946532434,0.0013582138190867859,-0.49613722111147884,0.0043634542704273655,0.0036365457295726347
0.38000000000000006,-0.04073486186847679,0.006,0.07889656556654989,0.008296882833739708,0.0
0.4000000000000001,-0.0451956874293616,0.0007586656669458774,-0.517376124751341,0.0024075246577759824,0.005592475342224018
0.4200000000000001,-0.04723470439855872,0.006,0.00736413730353791,0.007084125490314353,0.0009158745096856475
0.4400000000000001,-0.05182098334563875,-0.00017563409699089712,-0.5034720243955716,0.00044705420100103993,0.00755294579899896
0.46000000000000013,-0.053471985687828724,-0.006,-0.05280071710927087,0.0,0.013719105943553007
0.48000000000000015,-0.055069093201968664,0.006,0.13778830781920562,0.006070850997085245,0.001929149002914755
0.5000000000000001,-0.0598882403803341,-0.006,-0.183610102386384,0.0,0.014
0.5200000000000001,-0.060172160855409926,-0.006,-0.060105686753766596,0.0,0.013929149002914754
0.5400000000000001,-0.062462609181944025,-0.006,-0.060105686753766596,0.0,0.013719105943553004
0.5600000000000002,-0.06448270608578938,-0.006,-0.060105686753766596,0.0,0.013377311702008059
0.5800000000000002,-0.06642289236743694,-0.006,-0.060105686753766596,0.0,0.012915874509685642
0.6000000000000002,-0.06840607669130414,-0.006,-0.060105686753766596,0.0,0.012351141009169888
0.6200000000000002,-0.07047551754988148,-0.006,-0.060105686753766596,0.0,0.011703117166260282
0.6400000000000002,-0.0726625360171088,-0.006,-0.060105686753766596,0.0,0.010994759548659413
0.6600000000000003,-0.07499589235075928,-0.006,-0.060105686753766596,0.0,0.010251162078117246
0.6800000000000003,-0.07750202479839961,-0.006,-0.060105686753766596,0.0,0.009498667065742773
0.7000000000000003,-0.08022177049051969,-0.006,-0.060105686753766596,0.0,0.008763932022500202
0.7200000000000003,-0.08315638180560804,-0.006,-0.060105686753766596,0.0,0.008072985303593131
0.7400000000000003,-0.08628199122595795,-0.006,-0.060105686753766596,0.0005496959589947675,0.007450304041005232
0.7600000000000003,-0.08967384145489915,-0.006,-0.060105686753766596,0.001082052971103164,0.006917947028896836
0.7800000000000004,-0.09337284025832408,-0.006,-0.060105686753766596,0.001505226720175461,0.006494773279824539
0.8000000000000004,-0.09738334390184608,-0.006,-0.060105686753766596,0.0018042260651806178,0.006195773934819382
0.8200000000000004,-0.10166828100991794,-0.006,-0.060105686753766596,0.0019684588052579135,0.0060315411947420875
0.8400000000000004,-0.10617217853910993,-0.006,-0.060105686753766596,0.001992106913713085,0.0060078930862869145
0.8600000000000004,-0.11082939593712851,-0.006,-0.060105686753766596,0.001874332644514521,0.006125667355485479
0.8800000000000004,-0.11556735060834718,-0.006,-0.060105686753766596,0.0016193082098640713,0.00638069179013593
0.9000000000000005,-0.12030898977043969,-0.006,-0.060105686753766596,0.001236067977499783,0.006763932022500218
0.9200000000000005,-0.12497546170871746,-0.006,-0.060105686753766596,0.0007381884237147437,0.007261811576285257
0.9400000000000005,-0.12948903680480525,-0.006,-0.060105686753766596,0.00014330717991596978,0.00785669282008403
0.9600000000000005,-0.1337759267672886,-0.006,-0.060105686753766596,0.0,0.008527501789261309
0.9800000000000005,-0.1378521957839657,-0.006,-0.060105686753766596,0.0,0.00925047474165712
1.0000000000000004,-0.14179164794714738,-0.006,-0.060105686753766596,0.0,0.010000000000000012
1.0200000000000005,-0.14563585920819072,-0.006,-0.060105686753766596,0.0,0.010749525258342914
1.0400000000000005,-0.14942434022055695,-0.006,-0.060105686753766596,0.0,0.01147249821073873
1.0600000000000005,-0.15308672584363367,-0.006,-0.060105686753766596,0.0,0.012143307179915998
1.0800000000000005,-0.1565929157323584,-0.006,-0.060105686753766596,0.0,0.012738188423714767
1.1000000000000005,-0.1599472914148709,-0.006,-0.060105686753766596,0.0,0.0132360679774998
1.1200000000000006,-0.16317058927645894,-0.006,-0.060105686753766596,0.0,0.013619308209864088
1.1400000000000006,-0.16629481105989957,-0.006,-0.060105686753766596,0.0,0.01387433264451453
1.1600000000000006,-0.16936135943039668,-0.006,-0.060105686753766596,0.0,0.013992106913713087
1.1800000000000006,-0.1724197504384117,-0.006,-0.060105686753766596,0.0,0.013968458805257909
1.2000000000000006,-0.17552622064310855,-0.006,-0.060105686753766596,0.0,0.013804226065180608
1.2200000000000006,-0.1787420785963655,-0.006,-0.060105686753766596,0.0,0.013505226720175442
1.2400000000000007,-0.18213180362693898,-0.006,-0.060105686753766596,0.0,0.013082052971103141
1.2600000000000007,-0.18576088972631405,-0.006,-0.060105686753766596,0.0,0.012549695958994744
1.2800000000000007,-0.18969355424881088,-0.006,-0.060105686753766596,0.0,0.011927014696406842
1.3000000000000007,-0.19399034091352832,-0.006,-0.060105686753766596,0.0,0.011236067977499764
1.3200000000000007,-0.19870573712809358,-0.006,-0.060105686753766596,0.0,0.010501332934257195
1.3400000000000007,-0.20388591525627536,-0.006,-0.060105686753766596,0.0,0.009748837921882723
1.3600000000000008,-0.20958380512284322,-0.006,-0.060105686753766596,0.0,0.009005240451340555
1.3800000000000008,-0.21582364912746702,-0.006,-0.060105686753766596,0.0,0.008296882833739682
1.4000000000000008,-0.22253752824560843,-0.006,-0.060105686753766596,0.0003511410091699141,0.007648858990830086
1.4200000000000008,-0.22973956310419238,-0.006,-0.060105686753766596,0.0009158745096856666,0.007084125490314334
1.4400000000000008,-0.23757172629428044,-0.006,-0.060105686753766596,0.0013773117020080775,0.006622688297991923
1.4600000000000009,-0.24611884078264554,-0.006,-0.060105686753766596,0.0017191059435530164,0.006280894056446985
1.4800000000000009,-0.2553205103296577,-0.006,-0.060105686753766596,0.0019291490029147602,0.006070850997085239
1.5000000000000009,-0.26505965207223137,-0.006,-0.060105686753766596,0.002,0.006
1.520000000000001,-0.2751952631532046,-0.006,-0.060105686753766596,0.0019291490029147498,0.006070850997085251
1.540000000000001,-0.2855719775056533,-0.006,-0.060105686753766596,0.0017191059435529938,0.006280894056447006
1.560000000000001,-0.29602562397961796,-0.006,-0.060105686753766596,0.001377311702008042,0.006622688297991958
1.580000000000001,-0.3063882785514554,-0.006,-0.060105686753766596,0.0009158745096856259,0.007084125490314374
1.600000000000001,-0.31649373093774463,-0.006,-0.060105686753766596,0.0003511410091698655,0.007648858990830135
1.620000000000001,-0.3261832529980831,-0.006,-0.060105686753766596,0.0,0.008296882833739742
1.640000000000001,-0.3353580093227373,-0.006,-0.060105686753766596,0.0,0.009005240451340619
1.660000000000001,-0.34410516468470737,-0.006,-0.060105686753766596,0.0,0.009748837921882782
1.680000000000001,-0.3525866792483723,-0.006,-0.060105686753766596,0.0,0.010501332934257254
1.700000000000001,-0.3608496043838875,-0.006,-0.060105686753766596,0.0,0.011236067977499821
1.720000000000001,-0.3688317958047813,-0.006,-0.060105686753766596,0.0,0.0119270146964069
1.740000000000001,-0.3764753661823867,-0.006,-0.060105686753766596,0.0,0.01254969595899479
1.7600000000000011,-0.3837777798119277,-0.006,-0.060105686753766596,0.0,0.01308205297110318
1.7800000000000011,-0.39077138912524045,-0.006,-0.060105686753766596,0.0,0.013505226720175475
1.8000000000000012,-0.3975106424672189,-0.006,-0.060105686753766596,0.0,0.013804226065180628
1.8200000000000012,-0.40406716982757374,-0.006,-0.060105686753766596,0.0,0.013968458805257915
1.8400000000000012,-0.41052681793869916,-0.006,-0.060105686753766596,0.0,0.013992106913713083
1.8600000000000012,-0.41698682797458614,-0.006,-0.060105686753766596,0.0,0.013874332644514514
1.8800000000000012,-0.42355271167874825,-0.006,-0.060105686753766596,0.0,0.013619308209864064
1.9000000000000012,-0.43033478839593625,-0.006,-0.060105686753766596,0.0,0.013236067977499762
1.9200000000000013,-0.43744440111114685,-0.006,-0.060105686753766596,0.0,0.012738188423714724
1.9400000000000013,-0.4449899885301385,-0.006,-0.060105686753766596,0.0,0.012143307179915954
1.9600000000000013,-0.4530730826011114,-0.006,-0.060105686753766596,0.0,0.011472498210738667
